"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"ROMER S CATERING INC.","118 E. MAIN ST.","","","GREENVILLE","OH","45331","ON THE CIRCLE - WALNUT ST ENTRANCE","6:30 am - 7:30 pm","","3941005865"
"ROMER S CATERING INC.","118 E. MAIN ST.","","","GREENVILLE","OH","45331","ON THE CIRCLE - WALNUT ST ENTRANCE","6:30 am - 7:30 pm","","3941005866"
"FIRST CONG CHRISTIAN CHURCH","123 WAYNE AV","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005867"
"BRETHREN HOME - BRICK ROOM","750 CHESTNUT ST","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005868"
"BRETHREN HOME - BRICK ROOM","750 CHESTNUT ST","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005869"
"AMERICAN LEGION HALL","325 N.OHIO ST.","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005870"
"AMERICAN LEGION HALL","325 N.OHIO ST.","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005871"
"AMERICAN LEGION HALL","325 N.OHIO ST.","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005872"
"ROMER S CATERING INC.","118 E. MAIN ST.","","","GREENVILLE","OH","45331","ON THE CIRCLE - WALNUT ST ENTRANCE","6:30 am - 7:30 pm","","3941005873"
"GREENVILLE TWP EMER SERV BLDG","1401 SATER ST","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005874"
"GREENVILLE TWP EMER SERV BLDG","1401 SATER ST","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005875"
"CHURCH OF THE BRETHREN","120 W. OAKWOOD AVE","","","BRADFORD","OH","45308","","6:30 am - 7:30 pm","","3941004834"
"ADAMS TOWNSHIP HOUSE","100 PARK ST","","","GETTYSBURG","OH","45328","","6:30 am - 7:30 pm","","3941004837"
"COMMUNITY HALL  NEW WESTON","411 E. MAIN ST","","","NEW WESTON","OH","45348","","6:30 am - 7:30 pm","","3941004885"
"ANSONIA FIRST CHURCH OF GOD","750 S. MAIN ST","","","ANSONIA","OH","45303","","6:30 am - 7:30 pm","","3941005176"
"BUTLER TWP HALL - NEW LOCATION","1481 ST RT 127","","","ARCANUM","OH","45304","","6:30 am - 7:30 pm","","3941005202"
"FRANKLIN TOWNSHIP HOUSE","9034 PAINTER CREEK ARC.RD","","","ARCANUM","OH","45304","","6:30 am - 7:30 pm","","3941005761"
"ST JOHN LUTHERAN CHURCH","7418 ST RT 121 N","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005876"
"GREENVILLE TOWNSHIP HOUSE","5366 ST RT 571","","","GREENVILLE","OH","45331","","6:30 am - 7:30 pm","","3941005877"
"FAIRFIELD EAST ELEM SCHOOL","6711 MORRIS RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002556"
"NORTH FAIRFIELD BAPTIST CHURCH","6853 GILMORE RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002557"
"BUTLER TECH EDUCATIONAL RESOURCE CENTER","3603 HAMILTON MIDDLETOWN RD","","","HAMILTON","OH","45011","(MEETING ROOM)","6:30 am - 7:30 pm","","3941002558"
"FAIRFIELD NORTH ELEMENTARY","6116 MORRIS RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002541"
"FAIRFIELD EAST ELEM SCHOOL","6711 MORRIS RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002542"
"BOARD OF ELECTIONS","1802 PRINCETON RD","","","HAMILTON","OH","45011","(CONFERENCE RM C)","6:30 am - 7:30 pm","","3941002543"
"FAIRFIELD NORTH ELEMENTARY","6116 MORRIS RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002544"
"MILLVILLE VILLAGE HALL","2860 ROSS HANOVER RD","","","HAMILTON","OH","45013","(MEETING ROOM)","6:30 am - 7:30 pm","","3941003037"
"HANOVER TWP COMMUNITY CENTER","2595 OLD OXFORD RD","","","HAMILTON","OH","45013","(COMMUNITY ROOM)","6:30 am - 7:30 pm","","3941003039"
"OAKWOOD COMMUNITY CENTER","23035 BROADWAY AVE","","","OAKWOOD VILLAGE","OH","44146","23035 BROADWAY AVENUE","6:30 am - 7:30 pm","","3941004434"
"OAKWOOD COMMUNITY CENTER","23035 BROADWAY AVE","","","OAKWOOD VILLAGE","OH","44146","23035 BROADWAY AVENUE","6:30 am - 7:30 pm","","3941004435"
"OAKWOOD COMMUNITY CENTER","23035 BROADWAY AVE","","","OAKWOOD VILLAGE","OH","44146","23035 BROADWAY AVENUE","6:30 am - 7:30 pm","","3941004436"
"COLUMBIA PARK","7100 COLUMBIA RD","","","OLMSTED TWP","OH","44138","7100 COLUMBIA ROAD","6:30 am - 7:30 pm","","3941004460"
"OLMSTED FALLS MIDDLE SCHOOL","27045 BAGLEY  RD","","","OLMSTED TWP","OH","44138","27045 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004467"
"OLMSTED FALLS INTERMEDIATE SCHOOL","27043 BAGLEY RD","","","OLMSTED TWP","OH","44138","27043 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004463"
"ALL SAINTS LUTHERAN CHURCH","7230 COLUMBIA RD","","","OLMSTED TWP","OH","44138","7230 COLUMBIA ROAD","6:30 am - 7:30 pm","","3941004461"
"OLMSTED FALLS MIDDLE SCHOOL","27045 BAGLEY  RD","","","OLMSTED TWP","OH","44138","27045 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004465"
"OLMSTED FALLS INTERMEDIATE SCHOOL","27043 BAGLEY RD","","","OLMSTED TWP","OH","44138","27043 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004466"
"OLMSTED FALLS INTERMEDIATE SCHOOL","27043 BAGLEY RD","","","OLMSTED TWP","OH","44138","27043 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004462"
"OLMSTED CHRISTIAN CHURCH","7140 FITCH RD","","","OLMSTED TWP","OH","44138","7140 FITCH ROAD","6:30 am - 7:30 pm","","3941004469"
"OLMSTED FALLS MIDDLE SCHOOL","27045 BAGLEY  RD","","","OLMSTED TWP","OH","44138","27045 BAGLEY ROAD","6:30 am - 7:30 pm","","3941004464"
"COLUMBIA PARK","7100 COLUMBIA RD","","","OLMSTED TWP","OH","44138","7100 COLUMBIA ROAD","6:30 am - 7:30 pm","","3941004468"
"MORELAND HILLS SERVICE GARAGE","4350 SOM CENTER RD","","","MORELAND HILLS","OH","44022","4350 SOM CENTER ROAD","6:30 am - 7:30 pm","","3941004165"
"MORELAND HILLS SERVICE GARAGE","4350 SOM CENTER RD","","","MORELAND HILLS","OH","44022","4350 SOM CENTER ROAD","6:30 am - 7:30 pm","","3941004163"
"MORELAND HILLS SERVICE GARAGE","4350 SOM CENTER RD","","","MORELAND HILLS","OH","44022","4350 SOM CENTER ROAD","6:30 am - 7:30 pm","","3941004164"
"GATES MILLS COMMUNITY HOUSE","1460 CHAGRIN RIVER RD","","","GATES MILLS","OH","44040","1460 CHAGRIN RIVER ROAD","6:30 am - 7:30 pm","","3941002766"
"GATES MILLS COMMUNITY HOUSE","1460 CHAGRIN RIVER RD","","","GATES MILLS","OH","44040","1460 CHAGRIN RIVER ROAD","6:30 am - 7:30 pm","","3941002767"
"MAYFIELD VILL. COMMUNITY CENTER","6621 WILSON MILLS RD","","","MAYFIELD VILLAGE","OH","44143","6621 WILSON MILLS ROAD","6:30 am - 7:30 pm","","3941003885"
"MAYFIELD VILL. COMMUNITY CENTER","6621 WILSON MILLS RD","","","MAYFIELD VILLAGE","OH","44143","6621 WILSON MILLS ROAD","6:30 am - 7:30 pm","","3941003886"
"MAYFIELD VILL. COMMUNITY CENTER","6621 WILSON MILLS RD","","","MAYFIELD VILLAGE","OH","44143","6621 WILSON MILLS ROAD","6:30 am - 7:30 pm","","3941003887"
"MAYFIELD VILL. COMMUNITY CENTER","6621 WILSON MILLS RD","","","MAYFIELD VILLAGE","OH","44143","6621 WILSON MILLS ROAD","6:30 am - 7:30 pm","","3941003888"
"VALLEY VIEW COMMUNITY CENTER","6828 HATHAWAY RD","","","VALLEY VIEW","OH","44125","6828 HATHAWAY ROAD","6:30 am - 7:30 pm","","3941008652"
"VALLEY VIEW COMMUNITY CENTER","6828 HATHAWAY RD","","","VALLEY VIEW","OH","44125","6828 HATHAWAY ROAD","6:30 am - 7:30 pm","","3941008653"
"WALTON HILLS COMMUNITY BUILDING","7595 WALTON RD","","","WALTON HILLS","OH","44146","7595 WALTON ROAD","6:30 am - 7:30 pm","","3941008733"
"WALTON HILLS COMMUNITY BUILDING","7595 WALTON RD","","","WALTON HILLS","OH","44146","7595 WALTON ROAD","6:30 am - 7:30 pm","","3941008734"
"NORTH RANDALL VILLAGE HALL","21937 MILES RD","","","NORTH RANDALL","OH","44128","21937 MILES ROAD","6:30 am - 7:30 pm","","3941004359"
"HIGHLAND HILLS VILLAGE HALL","3700 NORTHFIELD RD","","","HIGHLAND HILLS","OH","44122","3700 NORTHFIELD ROAD","6:30 am - 7:30 pm","","3941003112"
"CUYAHOGA HEIGHTS VILLAGE HALL","4863 E 71ST ST","","","CUYAHOGA HEIGHTS","OH","44125","4863 EAST 71ST STREET","6:30 am - 7:30 pm","","3941002172"
"WOODMERE TOWN HALL","27899 CHAGRIN BLVD","","","WOODMERE","OH","44122","27899 CHAGRIN BOULEVARD","6:30 am - 7:30 pm","","3941009067"
"STERLING RECREATION CENTER","1380 E 32ND ST","","","CLEVELAND","OH","44114","1380 EAST 32ND STREET","6:30 am - 7:30 pm","","3941001315"
"LAKEVIEW TOWERS APARTMENTS","2700 WASHINGTON AVE","","","CLEVELAND","OH","44113","2700 WASHINGTON AVENUE","6:30 am - 7:30 pm","","3941001235"
"CHARLES DICKENS @ CORLETT","13013 CORLETT AVE","","","CLEVELAND","OH","44105","13013 CORLETT AVENUE","6:30 am - 7:30 pm","","3941001273"
"ZELMA GEORGE COMMUNITY CTR","3155 MARTIN LUTHER KING DR","","","CLEVELAND","OH","44120","3155 MARTIN LUTHER KING DRIVE","6:30 am - 7:30 pm","","3941001274"
"MEMORIAL SCHOOL","410 E 152ND ST","","","CLEVELAND","OH","44110","410 E. 152ND STREET","6:30 am - 7:30 pm","","3941001341"
"PRIMERA IGLESIA BAUTISTA HISPANA","6800 DENISON AVE","","","CLEVELAND","OH","44102","6800 DENISON AVE","6:30 am - 7:30 pm","","3941001454"
"GRACE CHURCH OF NORTH OLMSTED","4816 DOVER CENTER RD","","","NORTH OLMSTED","OH","44070","4816 DOVER CENTER ROAD","6:30 am - 7:30 pm","","3941004336"
"BESSIE KINSNER ELEM. SCHOOL","19091 WATERFORD PKY","","","STRONGSVILLE","OH","44149","19091 WATERFORD PARKWAY","6:30 am - 7:30 pm","","3941008115"
"EASTWOOD ELEMENTARY SCHOOL","4050 EASTWOOD LN","","","WARRENSVILLE HEIGHTS","OH","44122","4050 EASTWOOD LANE","6:30 am - 7:30 pm","","3941008791"
"EASTWOOD ELEMENTARY SCHOOL","4050 EASTWOOD LN","","","WARRENSVILLE HEIGHTS","OH","44122","4050 EASTWOOD LANE","6:30 am - 7:30 pm","","3941008792"
"WARRENSVILLE HTS. MIDDLE SCHOOL","4285 WARRENSVILLE CENTER RD","","","WARRENSVILLE HEIGHTS","OH","44128","4285 WARRENSVILLE CENTER ROAD","6:30 am - 7:30 pm","","3941008793"
"WARRENSVILLE HTS. MIDDLE SCHOOL","4285 WARRENSVILLE CENTER RD","","","WARRENSVILLE HEIGHTS","OH","44128","4285 WARRENSVILLE CENTER ROAD","6:30 am - 7:30 pm","","3941008794"
"EASTWOOD ELEMENTARY SCHOOL","4050 EASTWOOD LN","","","WARRENSVILLE HEIGHTS","OH","44122","4050 EASTWOOD LANE","6:30 am - 7:30 pm","","3941008795"
"EASTWOOD ELEMENTARY SCHOOL","4050 EASTWOOD LN","","","WARRENSVILLE HEIGHTS","OH","44122","4050 EASTWOOD LANE","6:30 am - 7:30 pm","","3941008796"
"WARRENSVILLE HTS BRANCH LIBRARY","4415 NORTHFIELD RD","","","WARRENSVILLE HEIGHTS","OH","44128","4415 NORTHFIELD ROAD","6:30 am - 7:30 pm","","3941008797"
"WARRENSVILLE HTS BRANCH LIBRARY","4415 NORTHFIELD RD","","","WARRENSVILLE HEIGHTS","OH","44128","4415 NORTHFIELD ROAD","6:30 am - 7:30 pm","","3941008798"
"MONTICELLO MIDDLE SCHOOL","3665 MONTICELLO BLVD","","","CLEVELAND HEIGHTS","OH","44121","3665 MONTICELLO BOULEVARD","6:30 am - 7:30 pm","","3941001186"
