"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"JOHN H. SHOTT","R","","","","","","WV","MERCER CO","","","","BLUEFIELD","","5128","54610005128"
"JOHN OVERINGTON","R","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5260","54610005260"
"JOHN PINO","D","","","","","","WV","FAYETTE CO","","","","OAK HILL","","5146","54610005146"
"JOHN R. KELLY","R","","","","","","WV","WOOD CO","","","","PARKERSBURG","","5304","54610005304"
"JOHN S. BUCKLEY","L","","","","","","WV","HARDY CO","","","","MATHIAS","","5001","54610005001"
"JOHN UNGER","D","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5040","54610005040"
"JOHN WILLIAMS","D","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5239","54610005239"
"JOHNNY ROACH","D","","","","","","WV","MASON CO","","","","POINT PLEASANT","","5071","54610005071"
"JORDAN HILL","R","","","","","","WV","NICHOLAS CO","","","","MT NEBO","","5180","54610005180"
"JOSH MCGRATH","D","","","","","","WV","PUTNAM CO","","","","NITRO","","5069","54610005069"
"JOSHUA  NELSON","R","","","","","","WV","BOONE CO","","","","SETH","","5102","54610005102"
"JOSHUA MARTIN","D","","","","","","WV","PUTNAM CO","","","","POCA","","5068","54610005068"
"JOYCE W. HOLLAND","R","","","","","","WV","CABELL CO","","","","HUNTINGTON","","5079","54610005079"
"JUNE TURNER","R","","","","","","WV","GILMER CO","","","","GLENVILLE","","5154","54610005154"
"JUSTIN J. MARCUM","D","","","","","","WV","MINGO CO","","","","WILLIAMSON","","5093","54610005093"
"JUSTIN MULLINS","R","","","","","","WV","LINCOLN CO","","","","HARTS","","5099","54610005099"
"KAREN WHITE","M","","","","","","WV","MERCER CO","","","","KEGLEY","","4947","54610004947"
"KARL PAUL","D","","","","","","WV","TYLER CO","","","","MIDDLEBOURNE","","5297","54610005297"
"KAYLA KESSINGER","R","","","","","","WV","FAYETTE CO","","","","MOUNT HOPE","","5144","54610005144"
"KELLI  SOBONYA","R","","","","","","WV","CABELL CO","","","","BARBOURSVILLE","","5085","54610005085"
"KEN HICKS","D","","","","","","WV","WAYNE CO","","","","KENOVA","","5086","54610005086"
"KENT LEONHARDT","R","","","","","","WV","MONONGALIA CO","","","","FAIRVIEW","","5013","54610005013"
"KEVIN KNICELEY","R","","","","","","WV","BRAXTON CO","","","","SUTTON","","5054","54610005054"
"KRIS  WARNER","R","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5034","54610005034"
"KRISTIN LOKEN","D","","","","","","WV","BERKELEY CO","","","","FALLING WATERS","","5310","54610005310"
"L.W. "BILL" BARTOLO","D","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5120","54610005120"
"LARRY A. WILLIAMS","D","","","","","","WV","PRESTON CO","","","","TUNNELTON","","5241","54610005241"
"LARRY E. ROGERS","IND","","","","","","WV","LOGAN CO","","","","OMAR","","5000","54610005000"
"LARRY JOHN EDGELL","D","","","","","","WV","WETZEL CO","","","","NEW MARTINSVILLE","","5012","54610005012"
"LARRY L. ROWE","D","","","","","","WV","KANAWHA CO","","","","MALDEN","","5167","54610005167"
"LARRY LEMON","D","","","","","","WV","WETZEL CO","","","","NEW MARTINSVILLE","","5270","54610005270"
"LARRY V. FAIRCLOTH","R","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5039","54610005039"
"LARRY W. FAIRCLOTH","R","","","","","","WV","BERKELEY CO","","","","INWOOD","","5255","54610005255"
"LAUREN E. PLYMALE","D","","","","","","WV","CABELL CO","","","","LESAGE","","5078","54610005078"
"LAYNE DIEHL","D","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5252","54610005252"
"LEA ANNE HAWKINS","D","","","","","","WV","LEWIS CO","","","","WESTON","","5329","54610005329"
"LINDA GOODE PHILLIPS","D","","","","","","WV","WYOMING CO","","","","PINEVILLE","","5117","54610005117"
"LINDA LONGSTRETH","D","","","","","","WV","MARION CO","","","","FAIRMONT","","5220","54610005220"
"LINDA SUMNER","R","","","","","","WV","RALEIGH CO","","","","BECKLEY","","5136","54610005136"
"LYLE NEAL","D","","","","","","WV","NICHOLAS CO","","","","SUMMERSVILLE","","4997","54610004997"
"LYNNE ARVON","R","","","","","","WV","RALEIGH CO","","","","BECKLEY","","5137","54610005137"
"LYNWOOD "WOODY" IRELAND","R","","","","","","WV","RITCHIE CO","","","","PULLMAN","","5053","54610005053"
"MARGARET ANN BAILEY","R","","","","","","WV","HARRISON CO","","","","CLARKSBURG","","5204","54610005204"
"MARGARET ANNE STAGGERS","D","","","","","","WV","FAYETTE CO","","","","FAYETTEVILLE","","5147","54610005147"
"MARIE  SPROUSE-MCDAVID","R","","","","","","WV","KANAWHA CO","","","","SO. CHARLESTON","","5343","54610005343"
"MARK  MYERS","M","","","","","","WV","ROANE CO","","","","SPENCER","","4982","54610004982"
"MARK DEAN","R","","","","","","WV","MINGO CO","","","","VERNER","","5094","54610005094"
"MARK R. MAYNARD","R","","","","","","WV","WAYNE CO","","","","GENOA","","5020","54610005020"
"MARK RHODES","D","","","","","","WV","WOOD CO","","","","PARKERSBURG","","5274","54610005274"
"MARK ZATEZALO","R","","","","","","WV","HANCOCK CO","","","","WEIRTON","","5287","54610005287"
"MARTY GEARHEART","R","","","","","","WV","MERCER CO","","","","BLUEFIELD","","5126","54610005126"
"MARY CATHERINE BOLTZ","R","","","","","","WV","RANDOLPH CO","","","","BEVERLY","","5186","54610005186"
"MARY KAY MILLIKEN","R","","","","","","WV","WETZEL CO","","","","NEW MARTINSVILLE","","5047","54610005047"
"MATTHEW ROHRBACH","R","","","","","","WV","CABELL CO","","","","HUNTINGTON","","5081","54610005081"
"MELISSA LEWIS","R","","","","","","WV","PRESTON CO","","","","REEDSVILLE","","5240","54610005240"
"MERLIN SHAMBLIN","R","","","","","","WV","ROANE CO","","","","LOONEYVILLE","","5226","54610005226"
"MICHAEL "MIKE" BRIGHT","D","","","","","","WV","JACKSON CO","","","","RIPLEY","","5062","54610005062"
"MICHAEL "MIKE" FOLK","R","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5261","54610005261"
"MICHAEL "MIKE" ROSENAU","D","","","","","","WV","TUCKER CO","","","","PARSONS","","5256","54610005256"
