"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"504 - RYE COVE","0504","70080","","","","91573"
"702 - WHITSON","0702","70085","","","","91574"
"012 - WARD TWELVE","0012","70102","","","","91575"
"403 - LUCKETTS","0403","70057","","","","91576"
"202 - DANTE","0202","70079","","","","91577"
"010 - WARD TEN","0010","70102","","","","91578"
"513 - LYNNWOOD","0513","70072","","","","91579"
"213 - TAYLOR ELEMENTARY SCHOOL","0213","70119","","","","91580"
"006 - WOLFTOWN","0006","70058","","","","91581"
"080 - CHIMNEY HILL","0080","70129","","","","91582"
"076 - VILLAGE","0076","70129","","","","91583"
"803 - CLIFTON","0803","70028","","","","91584"
"118 - LAKE BRADDOCK","0118","70028","","","","91585"
"401 - SHILOH","0401","70051","","","","91586"
"701 - SEVENTH WARD FIRST PRECINCT","0701","70121","","","","91587"
"527 - EDSALL","0527","70028","","","","91588"
"222 - WILDER","0222","70045","","","","91589"
"401 - FOURTH WARD FIRST PRECINCT","0401","70114","","","","91590"
"036 - THIRTY-SIX","0036","70123","","","","91591"
"310 - SHADY GROVE","0310","70045","","","","91592"
"419 - LANE","0419","70028","","","","91593"
"309 - EAST GRETNA","0309","70068","","","","91594"
"304 - OAK GROVE","0304","70076","","","","91595"
"502 - CRESTWOOD","0502","70020","","","","91596"
"301 - SLATE","0301","70013","","","","91597"
"931 - CARSON","0931","70028","","","","91598"
"401 - SUMMIT","0401","70084","","","","91599"
"605 - WHITMELL","0605","70068","","","","91600"
"309 - KENMORE","0309","70028","","","","91601"
"601 - BUMPASS","0601","70054","","","","91602"
"604 - RIDGEWAY #2","0604","70046","","","","91603"
"004 - HAYDON","0004","70115","","","","91604"
"309 - SADLER","0309","70045","","","","91605"
"303 - MOUNT SOLON","0303","70007","","","","91606"
"213 - SANFORD","0213","70118","","","","91607"
"902 - NINE HUNDRED TWO","0902","70127","","","","91608"
"703 - KONNAROCK","0703","70082","","","","91609"
"411 - SWIFT CREEK","0411","70020","","","","91610"
"108 - LITTLE NORTH MOUNTAIN","0108","70078","","","","91611"
"317 - WESTHAMPTON","0317","70028","","","","91612"
"302 - MILL CREEK","0302","70011","","","","91613"
"701 - GOODE VOL RESCUE SQUAD","0701","70009","","","","91614"
"314 - THREE CHOPT","0314","70045","","","","91615"
"112 - CARVER","0112","70020","","","","91616"
"202 - FLATWOODS","0202","70056","","","","91617"
"302 - PINE GROVE","0302","70021","","","","91618"
"503 - ELK CREEK","0503","70054","","","","91619"
"222 - RESTON #3","0222","70028","","","","91620"
"603 - VALLEY INSTITUTE","0603","70093","","","","91621"
"111 - ONE HUNDRED ELEVEN","0111","70127","","","","91622"
"504 - COURTHOUSE","0504","70084","","","","91623"
"402 - WOODLAWN D","0402","70018","","","","91624"
"301 - KEEZLETOWN","0301","70078","","","","91625"
"506 - BAKER-BUTLER","0506","70001","","","","91626"
"706 - SEVEN HUNDRED SIX","0706","70127","","","","91627"
"408 - REAMS","0408","70020","","","","91628"
"303 - EAST WYTHEVILLE","0303","70096","","","","91629"
"838 - SANGSTER","0838","70028","","","","91630"
"606 - HOLLIN HALL","0606","70028","","","","91631"
"207 - CHAMBERLAYNE","0207","70045","","","","91632"
"202 - EDGERTON","0202","70012","","","","91633"
"202 - JAMESTOWN B","0202","70049","","","","91634"
"402 - WATERFORD","0402","70057","","","","91635"
"825 - CHERRY RUN","0825","70028","","","","91636"
"051 - TAYLOR","0051","70006","","","","91637"
"204 - STEFANIGA","0204","70085","","","","91638"
"301 - NEW LONDON ACADEMY","0301","70009","","","","91639"
"202 - PRECINCT 2-2","0202","70036","","","","91640"
"209 - HILTON","0209","70118","","","","91641"
"401 - EVERGREEN","0401","70072","","","","91642"
"031 - FISHBURN PARK","0031","70128","","","","91643"
"401 - BLOXOM","0401","70000","","","","91644"
"069 - SHELL","0069","70129","","","","91645"
"303 - FALLING SPRING","0303","70077","","","","91646"
"504 - SMARTS MILL","0504","70057","","","","91647"
"402 - PROVIDENCE","0402","70040","","","","91648"
"202 - MT JACKSON","0202","70081","","","","91649"
"308 - THREE HUNDRED EIGHT","0308","70127","","","","91650"
"502 - SHEFFEY","0502","70096","","","","91651"
"036 - MARSHALL","0036","70006","","","","91652"
"801 - SOUTH BOSTON EAST","0801","70043","","","","91653"
"302 - ELON","0302","70004","","","","91654"
"202 - LITTLE MILL","0202","70087","","","","91655"
"401 - PRECINCT 4-1","0401","70103","","","","91656"
"704 - BURBAGE GRANT","0704","70107","","","","91657"
"102 - MOUNTAIN GROVE","0102","70008","","","","91658"
"201 - WILDERNESS SCHOOL","0201","70084","","","","91659"
"049 - WATERWAY","0049","70100","","","","91660"
"301 - WHITE MARSH","0301","70038","","","","91661"
"401 - PRECINCT 4-1","0401","70090","","","","91662"
"307 - THREE HUNDRED SEVEN","0307","70127","","","","91663"
"501 - VAUGHAN","0501","70018","","","","91664"
"628 - LAUREL HILL","0628","70028","","","","91665"
"302 - THIRD WARD SECOND PRECINCT","0302","70114","","","","91666"
"058 - GLENWOOD","0058","70129","","","","91667"
"203 - RUBY","0203","70085","","","","91668"
"206 - CLIMAX","0206","70068","","","","91669"
"101 - WAVERLY","0101","70087","","","","91670"
"403 - SOUTH GRUNDY","0403","70013","","","","91671"
"201 - PRECINCT 2-1","0201","70036","","","","91672"
"405 - LINDENWOOD","0405","70076","","","","91673"
"504 - KEOKEE","0504","70056","","","","91674"
"303 - ALTAVISTA","0303","70015","","","","91675"
"202 - GRACELAND","0202","70069","","","","91676"
"905 - FRANKLIN","0905","70028","","","","91677"
"401 - CARPERS VALLEY","0401","70033","","","","91678"
"201 - BARTLETT","0201","70048","","","","91679"
"102 - TEMPLETON","0102","70071","","","","91680"
"501 - CRAIG CITY","0501","70022","","","","91681"
"603 - FAIRVIEW","0603","70080","","","","91682"
"101 - FIFE","0101","70039","","","","91683"
"101 - WARD ONE","0101","70112","","","","91684"
"602 - PHENIX","0602","70017","","","","91685"
"401 - BYRD","0401","70045","","","","91686"
"103 - SOUTH CASTLEWOOD","0103","70079","","","","91687"
"403 - OLDTOWN","0403","70040","","","","91688"
"202 - SOUTHWEST","0202","70111","","","","91689"
"401 - MARS HILL","0401","70087","","","","91690"
"038 - ARLINGTON VIEW","0038","70006","","","","91691"
"301 - NICKELSVILLE","0301","70080","","","","91692"
"405 - CEDAR GREEN","0405","70007","","","","91693"
"802 - BLUESTONE","0802","70035","","","","91694"
"203 - RUSSELL CREEK","0203","70067","","","","91695"
"220 - DOGWOOD","0220","70028","","","","91696"
"114 - MONUMENT HILLS","0114","70045","","","","91697"
"419 - J. L. SIMPSON","0419","70057","","","","91698"
"101 - WASHINGTON","0101","70074","","","","91699"
"307 - MIDDLEBURG","0307","70057","","","","91700"
"016 - SIXTEEN","0016","70123","","","","91701"
"302 - PRECINCT 3-2","0302","70036","","","","91702"
"201 - PRECINCT 2-1","0201","70053","","","","91703"
"104 - CEDAR CREEK","0104","70033","","","","91704"
"215 - MAPLEWOOD","0215","70045","","","","91705"
