name,type,number,id
Kickapoo Twp Pct Com Woman Dem,Precinct,8,320451228
Reno Twp Pct Com Man Rep ,Precinct,9,320451250
Reno Twp Pct Com Woman Rep,Precinct,10,320451251
Reno Twp Pct Com Man Dem,Precinct,11,320451252
Reno Twp Pct Com Woman Dem,Precinct,12,320451257
Delaware Twp Pct Com Man Rep,Precinct,13,320451294
Delaware Twp Pct Com Woman Rep,Precinct,14,320451297
Delaware Twp Pct Com Man Dem,Precinct,15,320451298
Delaware Twp Pct Com Woman Dem,Precinct,16,320451300
Stranger Twp Pct Com Man Rep,Precinct,17,320451302
Stranger Twp Pct Com Woman Rep,Precinct,18,320451303
Stranger Twp Pct Com Man Dem,Precinct,19,320451304
Stranger Twp Pct Com Woman Dem,Precinct,20,320451305
WA/ST Twp Pct Com Man Rep,Precinct,21,320451321
WA/ST Twp Pct Com Woman Rep,Precinct,22,320451438
WA/ST Twp Pct Com Man Dem,Precinct,23,320451443
WA/ST Twp Pct Com Woman Dem,Precinct,24,320451444
Sherman Twp Pct Com Man Rep,Precinct,25,320451477
Sherman Twp Pct Com Woman Rep,Precinct,26,320451487
Sherman Twp Pct Com Man Dem,Precinct,27,320451492
Sherman Twp Pct Com Woman Dem,Precinct,28,320451493
Easton Twp Pct Com Woman Dem,Precinct,32,320451586
Easton Twp Pct Com Man Dem,Precinct,31,320451585
Easton Twp Pct Com Woman Rep,Precinct,30,320451580
High Pr Twp Pct Com Woman Dem,Precinct,36,320451756
High Pr Twp Pct Com Man Dem,Precinct,35,320451754
High Pr Twp Pct Com Woman Rep,Precinct,34,320451753
High Pr Twp Pct Com Man Rep,Precinct,33,320451746
GL/FA Twp Pct Com Woman Dem,Precinct,40,320451783
GL/FA Twp Pct Com Man Dem,Precinct,39,320451782
GL/FA Twp Pct Com Woman Rep,Precinct,38,320451781
GL/FA Twp Pct Com Man Rep,Precinct,37,320451780
BT/FA Twp Pct Com Woman Dem,Precinct,44,320451790
BT/FA Twp Pct Com Man Dem,Precinct,43,320451787
BT/FA Twp Pct Com Woman Rep,Precinct,42,320451785
BT/FA Twp Pct Com Man Rep,Precinct,41,320451784
Basehor City Pct Com Woman Dem,Precinct,48,320451824
Basehor City Pct Com Man Dem,Precinct,47,320451820
Basehor City Pct Com Woman Rep,Precinct,46,320451816
Basehor City Pct Com Man Rep,Precinct,45,320451810
Tongie No Pct Com Woman Dem,Precinct,52,320451863
Tongie No Pct Com Man Dem,Precinct,51,320451860
Tongie No Pct Com Woman Rep,Precinct,50,320451856
Tongie No Pct Com Man Rep,Precinct,49,320451846
Tongie So Pct Com Woman Dem,Precinct,56,320451913
Tongie So Pct Com Man Dem,Precinct,55,320451909
Tongie So Pct Com Woman Rep,Precinct,54,320451901
Tongie So Pct Com Man Rep,Precinct,53,320451895
Tongie Rural Pct Com Woman Dem,Precinct,60,320451954
Tongie Rural Pct Com Man Dem,Precinct,59,320451953
Tongie Rural Pct Com Woman Rep,Precinct,58,320451951
Tongie Rural Pct Com Man Rep,Precinct,57,320451950
LA Ward 1 Pct Com Woman Dem,Precinct,64,320451998
LA Ward 1 Pct Com Man Dem,Precinct,63,320451991
LA Ward 1 Pct Com Woman Rep,Precinct,62,320451982
LA Ward 1 Pct Com Man Rep,Precinct,61,320451975
02 PREC COM,Precinct,,320452240
01 PREC COM ,Precinct,,320452236
LA Ward 3 Pct Com Woman Dem,Precinct,72,320452287
LA Ward 4 Pct Com Woman Dem,Precinct,76,320452291
LA Ward 4 Pct Com Man Dem,Precinct,75,320452290
1 Pct 4 Ward Pct Com Woman Dem,Precinct,104,320452414
1 Pct 4 Ward Pct Com Man Dem,Precinct,103,320452406
3 Pct 5 Ward Pct Com Woman Dem,Precinct,116,320452493
3 Pct 5 Ward Pct Com Man Dem,Precinct,115,320452490
3 Pct 5 Ward Pct Com Woman Rep,Precinct,114,320452487
3 Pct 5 Ward Pct Com Man Rep,Precinct,113,320452453
4 Pct 5 Ward Pct Com Woman Dem,Precinct,120,320452513
4 Pct 5 Ward Pct Com Man Dem,Precinct,119,320452509
4 Pct 5 Ward Pct Com Woman Rep,Precinct,118,320452502
4 Pct 5 Ward Pct Com Man Rep,Precinct,117,320452497
1 Pct 6 Ward Pct Com Woman Dem,Precinct,124,320452530
1 Pct 6 Ward Pct Com Man Dem,Precinct,123,320452528
1 Pct 6 Ward Pct Com Woman Rep,Precinct,122,320452521
1 Pct 6 Ward Pct Com Man Rep,Precinct,121,320452517
2 Pct 6 Ward Pct Com Woman Dem,Precinct,128,320452540
2 Pct 6 Ward Pct Com Man Dem,Precinct,127,320452537
2 Pct 6 Ward Pct Com Woman Rep,Precinct,126,320452536
2 Pct 6 Ward Pct Com Man Rep,Precinct,125,320452531
3 Pct 6 Ward Pct Com Woman Dem,Precinct,132,320452546
3 Pct 6 Ward Pct Com Man Dem,Precinct,131,320452545
3 Pct 6 Ward Pct Com Woman Rep,Precinct,130,320452544
3 Pct 6 Ward Pct Com Man Rep,Precinct,129,320452543
4 Pct 6 Ward Pct Com Woman Dem,Precinct,136,320452550
4 Pct 6 Ward Pct Com Man Dem,Precinct,135,320452549
4 Pct 6 Ward Pct Com Woman Rep,Precinct,134,320452548
4 Pct 6 Ward Pct Com Man Rep,Precinct,133,320452547
5 Pct 6 Ward Pct Com Woman Dem,Precinct,140,320452554
5 Pct 6 Ward Pct Com Man Dem,Precinct,139,320452553
5 Pct 6 Ward Pct Com Woman Rep,Precinct,138,320452552
5 Pct 6 Ward Pct Com Man Rep,Precinct,137,320452551
1 Pct 7 Ward Pct Com Woman Dem,Precinct,144,320452562
1 Pct 7 Ward Pct Com Man Dem,Precinct,143,320452561
1 Pct 7 Ward Pct Com Woman Rep,Precinct,142,320452557
1 Pct 7 Ward Pct Com Man Rep,Precinct,141,320452555
2 Pct 7 Ward Pct Com Woman Dem,Precinct,148,320452570
2 Pct 7 Ward Pct Com Man Dem,Precinct,147,320452569
2 Pct 7 Ward Pct Com Woman Rep,Precinct,146,320452564
2 Pct 7 Ward Pct Com Man Rep,Precinct,145,320452563
3 Pct 7 Ward Pct Com Woman Dem,Precinct,152,320452574
3 Pct 7 Ward Pct Com Man Dem,Precinct,151,320452573
3 Pct 7 Ward Pct Com Woman Rep,Precinct,150,320452572
3 Pct 7 Ward Pct Com Man Rep,Precinct,149,320452571
Alex Twp Pct Com Man Rep,Precinct,1,320451049
Alex Twp Pct Com Woman Rep,Precinct,2,320451080
Committee Person AC1C,Precinct,5,320450561
Committee Person AC1D,Precinct,6,320450562
Committee Person AC2A,Precinct,7,320450563
Committee Person AC2B,Precinct,8,320450575
Committee Person AC2B-2,Precinct,9,320450578
Committee Person AC2C,Precinct,10,320450580
