"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"302 - THREE HUNDRED TWO","0302","70127","","","","90469"
"101 - 1A","0101","70064","","","","90470"
"209 - INDEPENDENT HILL","0209","70072","","","","90471"
"507 - LAUREL MEADOW","0507","70044","","","","90472"
"201 - QUINTON","0201","70062","","","","90473"
"003 - THIRD WARD","0003","70105","","","","90474"
"503 - ROBERTS C","0503","70049","","","","90475"
"310 - THREE HUNDRED TEN","0310","70127","","","","90476"
"401 - STONEHOUSE A","0401","70049","","","","90477"
"105 - GREENDALE","0105","70045","","","","90478"
"702 - MONTPELIER","0702","70044","","","","90479"
"052 - GUNSTON","0052","70006","","","","90480"
"501 - ELTHAM","0501","70062","","","","90481"
"402 - DARE","0402","70097","","","","90482"
"301 - GOOCHLAND COURT HOUSE 1","0301","70039","","","","90483"
"101 - PRECINCT 1-1","0101","70075","","","","90484"
"306 - WASHINGTON-REID","0306","70072","","","","90485"
"704 - ELMONT","0704","70044","","","","90486"
"525 - WALNUT HILL","0525","70028","","","","90487"
"502 - WALKER","0502","70038","","","","90488"
"040 - VIRGINIA SQUARE","0040","70006","","","","90489"
"103 - GLEN ALLEN","0103","70045","","","","90490"
"305 - JOHN ADAMS SCHOOL","0305","70098","","","","90491"
"404 - FREEMAN","0404","70045","","","","90492"
"206 - BELMONT","0206","70020","","","","90493"
"025 - ARLINGTON FOREST","0025","70006","","","","90494"
"208 - OAK KNOLL","0208","70044","","","","90495"
"304 - BARRETT","0304","70085","","","","90496"
"612 - WAYNEWOOD","0612","70028","","","","90497"
"047 - FOUR MILE RUN","0047","70006","","","","90498"
"702 - BRENTS MILL","0702","70084","","","","90499"
"104 - ONE HUNDRED FOUR","0104","70127","","","","90500"
"408 - LAUDERDALE","0408","70045","","","","90501"
"502 - CHICKAHOMINY RIVER","0502","70062","","","","90502"
"410 - MOORELAND","0410","70045","","","","90503"
"103 - BERKELEY C","0103","70049","","","","90504"
"013 - GLEN CARLYN","0013","70006","","","","90505"
"422 - VAN DORN","0422","70028","","","","90506"
"005 - BARCROFT","0005","70006","","","","90507"
"406 - BEAVERDAM CREEK","0406","70044","","","","90508"
"002 - MATOAKA","0002","70131","","","","90509"
"617 - LORTON","0617","70028","","","","90510"
"201 - MAURY SCHOOL","0201","70098","","","","90511"
"402 - FOUR EAST","0402","70065","","","","90512"
"303 - THREE HUNDRED THREE","0303","70127","","","","90513"
"333 - SALONA #2","0333","70028","","","","90514"
"104 - SLIDING HILL","0104","70044","","","","90515"
"409 - PIONEER","0409","70028","","","","90516"
"203 - AGUDAS ACHIM SYNAGOGUE","0203","70098","","","","90517"
"704 - RICHARDSVILLE","0704","70023","","","","90518"
"023 - WESTOVER","0023","70006","","","","90519"
"030 - GLEBE","0030","70006","","","","90520"
"208 - TWO HUNDRED EIGHT","0208","70127","","","","90521"
"703 - FAIRVIEW","0703","70084","","","","90522"
"104 - COLLEGE","0104","70085","","","","90523"
"310 - KIRBY","0310","70028","","","","90524"
