"ballot_id","candidate_id","sort_order"
"220","10942",""
"285","10942",""
"54","10963",""
"167","10707",""
"83","10941",""
"56","10942",""
"72","10124",""
"121","10940",""
"206","10942",""
"114","10937",""
"87","10938",""
"59","10939",""
"56","10797",""
"152","10349",""
"341","10739",""
"42","10940",""
"127","10942",""
"8","10938",""
"395","10941",""
"102","10967",""
"333","10967",""
"48","10942",""
"104","10967",""
"44","10199",""
"66","10373",""
"425","10440",""
"272","10937",""
"362","10940",""
"412","10967",""
"166","10076",""
"236","10103",""
"245","10941",""
"183","10967",""
"45","10747",""
"141","10071",""
"193","10937",""
"166","10938",""
"192","10940",""
"11","10439",""
"19","10378",""
"29","10012",""
"303","10486",""
"367","10499",""
"94","10940",""
"23","10162",""
"95","10816",""
"102","10485",""
"255","10772",""
"333","10941",""
"167","10942",""
"331","10040",""
"310","10940",""
"37","10967",""
"332","10781",""
"353","10233",""
"112","10463",""
"164","10933",""
"353","10938",""
"27","10939",""
"352","10941",""
"186","10942",""
"129","10457",""
"329","10940",""
"148","10433",""
"60","10870",""
"94","10007",""
"20","10938",""
"57","10733",""
"145","10107",""
"299","10370",""
"20","10864",""
"273","10224",""
"392","10357",""
"203","10939",""
"247","10172",""
"145","10418",""
"44","10598",""
"64","10675",""
"69","10877",""
"154","10232",""
"390","10265",""
"177","10938",""
"273","10941",""
"246","10942",""
"154","10937",""
"250","10940",""
"318","10343",""
"374","10938",""
"38","10487",""
"142","10071",""
"30","10942",""
"26","10065",""
"257","10047",""
"67","10942",""
"76","10102",""
"408","10940",""
"98","10378",""
"204","10960",""
"384","10312",""
"116","10967",""
"50","10063",""
"97","10787",""
"283","10492",""
"380","10234",""
"86","10942",""
"198","10938",""
"274","10938",""
"247","10939",""
"176","10941",""
"292","10967",""
"316","10343",""
"153","10940",""
"191","10940",""
"157","10941",""
"332","10052",""
"304","10937",""
"277","10938",""
"373","10941",""
"47","10942",""
"37","10490",""
"274","10233",""
"270","10940",""
"236","10941",""
"63","10068",""
"92","10913",""
"100","10695",""
"135","10493",""
"166","10323",""
"327","10407",""
"383","10937",""
"88","10942",""
"47","10631",""
"78","10775",""
"359","10939",""
"397","10939",""
"396","10942",""
"256","10938",""
"213","10967",""
"18","10464",""
"86","10714",""
"233","10937",""
"112","10940",""
"232","10940",""
"394","10941",""
"151","10409",""
"195","10967",""
"171","10445",""
"390","10671",""
"11","10940",""
"109","10942",""
"156","10804",""
"71","10939",""
"401","10942",""
"88","10275",""
"149","10480",""
"214","10937",""
"280","10939",""
"225","10377",""
"296","10506",""
"335","10710",""
"404","10937",""
"219","10938",""
"368","10940",""
"21","10885",""
"337","10799",""
"396","10423",""
"285","10937",""
"326","10939",""
"392","10941",""
"325","10942",""
"72","10625",""
"198","10031",""
"57","10937",""
"202","10941",""
