"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"WEST TISHOMINGO @  TISHOMINGO COMMUNITY CENTER","1267 MAIN ST","","","TISHOMINGO","MS","38852","","","","1313364"
"WEST TISHOMINGO @  TISHOMINGO COMMUNITY CENTER","1267 MAIN ST","","","TISHOMINGO","MS","38873","","","","1313364"
"TRINITY PRESBYTERIAN CHURCH","4223 POPLAR SPRING DR","","","MERIDIAN","MS","39305","","","","1313365"
"TRINITY PRESBYTERIAN CHURCH","4223 POPLAR SPRINGS DR","","","MERIDIAN","MS","39305","","","","1313365"
"MASONIC LODGE","9198 HILLVIEW DR","","","MERIDIAN","MS","39305","","","","1313367"
"MARION TOWN HALL","6021 DALE DR","","","MARION","MS","39342","","","","1313369"
"NE COMMUNITY CLUB","628 BRIARWOOD RD","","","MERIDIAN","MS","39305","","","","1313370"
"PROSPECT PRESBYTERIAN CHURCH","7876 POPLAR SPRINGS DR","","","MERIDIAN","MS","39305","","","","1313371"
"LAUDERDALE FIRE STATION","9275 LAUDERDALE TOOMSUBA RD","","","LAUDERDALE","MS","39335","","","","1313372"
"CENTRAL FIRE STATION #1","2500 14TH STREET","","","MERIDIAN","MS","39301","","","","1313374"
"VELMA YOUNG COMMUNITY CENTER","2400 16TH AVE","","","MERIDIAN","MS","39301","","","","1313375"
"SAM DALE FIRE STATION","11037 HWY 39","","","DALEVILLE","MS","39326","","","","1313377"
"LAUDERDALE BAPTIST ASSOC. BUILDING","5521 CLINTON ST","","","MARION","MS","39342","","","","1313379"
"SPRINGHILL BAPTIST CHURCH","5395 WRIGHT SPUR RD","","","TOOMSUBA","MS","39364","","","","1313380"
"RUSSELL COMMUNITY CENTER","1722 MARION RUSSELL RD","","","MERIDIAN","MS","39301","","","","1313381"
"TOOMSUBA FIRE STATION","51 WILL GARRETT RD","","","TOOMSUBA","MS","39364","","","","1313382"
"CENTER RIDGE FIRE STATION","5146 YORK RD","","","LAUDERDALE","MS","39335","","","","1313383"
"EL BETHEL MISSIONARY BAPT CHURCH","2300 STATE BOULEVARD","","","MERIDIAN","MS","39305","","","","1313384"
"NORTHCREST BAPTIST CHURCH","3412 NORTH HILLS STREET","","","MERIDIAN","MS","39305","","","","1313385"
"FELLOWSHIP BAPTIST CHURCH","9325 FELLOWHSHIP RD","","","MERIDIAN","MS","39305","","","","1313386"
"COLLINSVILLE VOLUNTEER FIRE DEPT","11710 NANCY DR","","","COLLINSVILLE","MS","39325","","","","1313387"
"PINE GROVE BAPTIST CHURCH","11874 PINE GROVE RD","","","COLLINSVILLE","MS","39325","","","","1313388"
"HUGHES MEMORIAL FOUNDATION BLDG","9503 HWY 493","","","BAILEY","MS","39320","","","","1313389"
"MACEDONIA BAPTIST CHURCH","11206 HWY 494","","","MERIDIAN","MS","39305","","","","1313390"
"PINE FOREST BAPTIST CHURCH","10031 WEST LAUDERDALE","","","COLLINSVILLE","MS","39325","","","","1313391"
"FRANK COCHRAN CENTER","1725 CAROUSEL DR","","","MERIDIAN","MS","39307","","","","1313392"
"MSU-MERIDIAN","1000 HWY 19 N","","","MERIDIAN","MS","39307","","","","1313393"
"CAROUSEL PLACE-COMMUNITY CTR","4610 VALLY ST","","","MERIDIAN","MS","39307","","","","1313394"
"MCCSA (OLD MT BARTON SCH)","2900 ST PAUL ST","","","MERIDIAN","MS","39301","","","","1313395"
"HAMASA TEMPLE SHRINE-BALLROOM","2320 8TH ST","","","MERIDIAN","MS","39301","","","","1313396"
"HAMASA TEMPLE SHRINE-BALLROOM","P O BOX 365","","","MERIDIAN","MS","39302","","","","1313396"
"COUNCIL OF ORGANIZATIONS","814 45TH AVENUE","","","MERIDIAN","MS","39307","","","","1313397"
